start,end,tournament,round,round_match_number,player1,player2,deck1,deck2,victor,victory,format,unknown_order,recorder,notes
2020-01-07,2020-01-10,CAWS19,1,1,Akiata,Nopethebard,[Past]/Anarchy/Peace,MonoRed,Akiata,normal,forum,,charnel_mouse,
2020-01-06,2020-01-10,CAWS19,1,2,FrozenStorm,dwarddd,[Future]/Necromancy/Peace,[Past/Present]/Peace,dwarddd,normal,forum,,charnel_mouse,
2020-01-07,2020-01-13,CAWS19,1,3,Bomber678,charnel_mouse,MonoRed,[Balance]/Blood/Strength,charnel_mouse,normal,forum,,charnel_mouse,
2020-01-06,2020-01-21,CAWS19,1,4,EricF,bolyarich,[Feral]/Fire/Law,Nightmare,bolyarich,normal,forum,,charnel_mouse,
2020-01-07,2020-01-16,CAWS19,1,5,zhavier,CarpeGuitarrem,[Balance/Growth]/Finesse,[Necromancy]/Blood/Present,zhavier,normal,forum,,charnel_mouse,
2020-01-14,2020-01-22,CAWS19,2,1,dwarddd,Akiata,[Past/Present]/Peace,[Past]/Anarchy/Peace,dwarddd,normal,forum,,charnel_mouse,
2020-01-14,2020-01-22,CAWS19,2,2,charnel_mouse,zhavier,[Balance]/Blood/Strength,[Balance/Growth]/Finesse,zhavier,normal,forum,,charnel_mouse,
2020-01-16,2020-01-21,CAWS19,2,3,bolyarich,codexnewb,Nightmare,Miracle Grow,bolyarich,normal,forum,,charnel_mouse,
2020-01-14,2020-01-16,CAWS19,2,4,CarpeGuitarrem,EricF,[Necromancy]/Blood/Present,[Feral]/Law/Fire,EricF,normal,forum,,charnel_mouse,
2020-01-13,2020-01-17,CAWS19,2,5,Nopethebard,FrozenStorm,MonoRed,[Future]/Necromancy/Peace,FrozenStorm,normal,forum,,charnel_mouse,
2020-01-22,2020-01-28,CAWS19,3,1,bolyarich,zhavier,Nightmare,[Balance/Growth]/Finesse,bolyarich,normal,forum,,charnel_mouse,
2020-01-23,2020-01-29,CAWS19,3,2,dwarddd,charnel_mouse,[Past/Present]/Peace,[Balance]/Blood/Strength,dwarddd,normal,forum,,charnel_mouse,
2020-01-23,2020-01-29,CAWS19,3,3,Akiata,EricF,[Past]/Anarchy/Peace,[Feral]/Fire/Law,EricF,normal,forum,,charnel_mouse,
2020-01-22,2020-01-30,CAWS19,3,4,codexnewb,FrozenStorm,Miracle Grow,[Future]/Necromancy/Peace,FrozenStorm,normal,forum,,charnel_mouse,
2020-01-22,2020-01-27,CAWS19,3,5,CarpeGuitarrem,Bomber678,[Necromancy]/Blood/Present,MonoRed,CarpeGuitarrem,normal,forum,,charnel_mouse,
2020-01-30,2020-02-18,CAWS19,4,1,dwarddd,bolyarich,[Past/Present]/Peace,Nightmare,bolyarich,normal,forum,,charnel_mouse,
2020-01-29,2020-02-04,CAWS19,4,2,zhavier,Akiata,[Balance/Growth]/Finesse,[Past]/Anarchy/Peace,zhavier,normal,forum,,charnel_mouse,
2020-01-29,2020-02-03,CAWS19,4,3,EricF,FrozenStorm,[Feral]/Fire/Law,[Future]/Necromancy/Peace,FrozenStorm,normal,forum,,charnel_mouse,
2020-01-30,2020-02-05,CAWS19,4,4,charnel_mouse,codexnewb,[Balance]/Blood/Strength,Miracle Grow,codexnewb,normal,forum,,charnel_mouse,
2020-01-29,2020-02-01,CAWS19,4,5,Nopethebard,Bomber678,MonoRed,MonoRed,Bomber678,normal,forum,,charnel_mouse,
2020-02-06,2020-02-19,CAWS19,5,1,FrozenStorm,bolyarich,[Future]/Necromancy/Peace,Nightmare,bolyarich,normal,forum,,charnel_mouse,
2020-02-05,2020-02-09,CAWS19,5,2,zhavier,dwarddd,[Balance/Growth]/Finesse,[Past/Present]/Peace,zhavier,normal,forum,,charnel_mouse,
2020-02-06,2020-02-12,CAWS19,5,3,Bomber678,EricF,MonoRed,[Feral]/Fire/Law,Bomber678,normal,forum,,charnel_mouse,
2020-02-05,2020-02-07,CAWS19,5,4,codexnewb,CarpeGuitarrem,Miracle Grow,[Necromancy]/Blood/Present,codexnewb,normal,forum,,charnel_mouse,
2020-02-14,2020-02-22,CAWS19,6,1,bolyarich,dwarddd,Nightmare,[Past/Present]/Peace,bolyarich,normal,forum,,charnel_mouse,
2020-02-13,2020-02-14,CAWS19,6,2,FrozenStorm,zhavier,[Future]/Necromancy/Peace,[Balance/Growth]/Finesse,FrozenStorm,normal,forum,,charnel_mouse,
2020-02-13,2020-02-18,CAWS19,6,3,Bomber678,codexnewb,MonoRed,Miracle Grow,codexnewb,normal,forum,,charnel_mouse,
2020-02-19,2020-02-25,CAWS19,7,1,bolyarich,FrozenStorm,Nightmare,[Future]/Necromancy/Peace,bolyarich,normal,forum,,charnel_mouse,
2020-02-20,2020-02-22,CAWS19,7,2,codexnewb,zhavier,Miracle Grow,[Balance/Growth]/Finesse,codexnewb,normal,forum,,charnel_mouse,
2020-02-26,NA,CAWS19,8,1,codexnewb,bolyarich,Miracle Grow,Nightmare,NA,NA,forum,,charnel_mouse,
